City_ID,City,Country,Date,Lat,Lng,Conditions,Max Temp,Humidity,Cloudiness,Wind Speed
209,Chase,CA,2022-04-26 22:37:49,50.8165,-119.6857,overcast clouds,58.08,54,100,0.94
210,Lata,PT,2022-04-26 22:41:19,40.1629,-8.3327,clear sky,49.44,96,1,1.74
211,Portland,US,2022-04-26 22:37:26,45.5234,-122.6762,broken clouds,57.24,76,75,9.22
212,Canon City,US,2022-04-26 22:41:19,38.441,-105.2424,clear sky,73.62,19,0,9.22
213,Muisne,EC,2022-04-26 22:41:20,0.6,-80.0333,light rain,77.76,87,98,9.91
214,Muros,ES,2022-04-26 22:41:20,42.7762,-9.0603,scattered clouds,53.83,93,39,6.85
215,Lagoa,PT,2022-04-26 22:41:21,39.05,-27.9833,broken clouds,61.38,89,65,23.47
216,Longyearbyen,SJ,2022-04-26 22:41:21,78.2186,15.6401,light shower snow,1.24,71,75,12.66
217,Cidreira,BR,2022-04-26 22:41:21,-30.1811,-50.2056,few clouds,71.19,91,24,10.31
218,Mombetsu,JP,2022-04-26 22:41:22,44.3525,143.3525,overcast clouds,49.87,83,100,4.0
219,Aksu,CN,2022-04-26 22:39:16,41.1231,80.2644,overcast clouds,61.14,18,88,7.92
220,Mackay,AU,2022-04-26 22:41:22,-21.15,149.2,scattered clouds,77.68,94,40,9.22
221,Borba,BR,2022-04-26 22:41:23,-4.3878,-59.5939,overcast clouds,78.28,85,99,2.33
222,Krasnoselkup,RU,2022-04-26 22:41:24,65.7,82.4667,broken clouds,15.78,88,66,9.82
223,Constitucion,CL,2022-04-26 22:37:14,-35.3333,-72.4167,scattered clouds,51.19,86,34,3.0
224,Rio Grande,BR,2022-04-26 22:41:24,-32.035,-52.0986,heavy intensity rain,71.71,89,60,17.45
225,Port Macquarie,AU,2022-04-26 22:37:12,-31.4333,152.9167,overcast clouds,66.88,80,98,4.41
226,Liverpool,GB,2022-04-26 22:41:25,53.4106,-2.9779,few clouds,48.09,73,20,11.5
227,Honningsvag,NO,2022-04-26 22:41:25,70.9821,25.9704,broken clouds,19.15,79,75,24.16
228,Udachnyy,RU,2022-04-26 22:41:26,66.4167,112.4,broken clouds,14.94,95,71,3.38
229,Coahuayana,MX,2022-04-26 22:42:26,18.7333,-103.6833,clear sky,85.55,48,0,6.71
230,Nuzvid,IN,2022-04-26 22:42:27,16.7833,80.85,clear sky,81.45,79,5,3.87
231,Beloha,MG,2022-04-26 22:42:27,-25.1667,45.05,overcast clouds,73.31,88,100,13.38
232,Mehamn,NO,2022-04-26 22:42:27,71.0357,27.8492,overcast clouds,17.55,93,100,26.46
233,Cabo San Lucas,MX,2022-04-26 22:42:28,22.8909,-109.9124,clear sky,89.62,55,0,8.7
234,Bay Roberts,CA,2022-04-26 22:42:28,47.5999,-53.2648,broken clouds,36.66,88,73,7.0
235,Canico,PT,2022-04-26 22:42:29,32.6333,-16.85,few clouds,61.72,77,20,5.75
236,Gebre Guracha,ET,2022-04-26 22:42:29,9.8,38.4,broken clouds,59.74,53,75,2.98
237,Lebu,CL,2022-04-26 22:42:30,-37.6167,-73.65,clear sky,49.86,81,7,8.34
238,Coihaique,CL,2022-04-26 22:41:02,-45.5752,-72.0662,light shower sleet,36.21,93,100,0.0
239,Bandarbeyla,SO,2022-04-26 22:42:30,9.4942,50.8122,scattered clouds,81.05,80,27,5.77
240,Mugur-Aksy,RU,2022-04-26 22:42:31,50.35,90.5,overcast clouds,28.54,61,100,1.72
241,Inhambane,MZ,2022-04-26 22:42:31,-23.865,35.3833,broken clouds,71.4,70,78,11.34
242,Port Lincoln,AU,2022-04-26 22:42:32,-34.7333,135.8667,few clouds,62.73,83,23,5.26
243,Pisco,PE,2022-04-26 22:42:32,-13.7,-76.2167,clear sky,69.85,73,0,20.71
244,Meulaboh,ID,2022-04-26 22:42:33,4.1363,96.1285,overcast clouds,75.13,82,100,3.18
245,Shimoda,JP,2022-04-26 22:42:33,34.6667,138.95,heavy intensity rain,67.87,95,100,16.17
246,Sakakah,SA,2022-04-26 22:42:34,29.9697,40.2064,scattered clouds,76.57,33,30,7.72
247,Manaquiri,BR,2022-04-26 22:42:34,-3.3167,-60.35,broken clouds,84.65,85,77,2.26
248,Deogarh,IN,2022-04-26 22:42:34,21.5333,84.7333,clear sky,75.31,78,3,0.65
249,Lucapa,AO,2022-04-26 22:42:35,-8.4192,20.7447,overcast clouds,66.7,95,100,1.48
250,Hambantota,LK,2022-04-26 22:42:35,6.1241,81.1185,overcast clouds,79.9,82,85,2.28
251,Maceio,BR,2022-04-26 22:39:19,-9.6658,-35.7353,few clouds,76.44,83,20,2.3
252,Galesong,ID,2022-04-26 22:42:36,-5.3166,119.3661,overcast clouds,75.22,81,100,5.48
