City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Ulladulla,AU,2022-04-18 04:24:50,-35.35,150.4667,81.5,49,100,2.24
198,Mount Isa,AU,2022-04-18 04:24:50,-20.7333,139.5,94.77,14,0,6.91
199,Svetlogorsk,BY,2022-04-18 04:24:50,52.6333,29.7333,33.19,97,100,8.57
200,Ada,US,2022-04-18 04:24:51,43.4166,-116.1262,47.55,42,100,8.01
201,La Ronge,CA,2022-04-18 04:24:51,55.1001,-105.2842,28.62,68,20,2.3
202,Belaya Gora,RU,2022-04-18 04:24:52,68.5333,146.4167,22.89,80,100,4.05
203,Ust-Ishim,RU,2022-04-18 04:24:52,57.6935,71.1665,37.4,56,53,6.04
204,Olinda,BR,2022-04-18 04:24:53,-8.0089,-34.8553,82.13,69,40,3.44
205,Port Macquarie,AU,2022-04-18 04:24:54,-31.4333,152.9167,77.9,62,8,7.49
206,Prince George,CA,2022-04-18 04:22:13,53.9166,-122.753,38.62,38,0,8.05
207,Tautira,PF,2022-04-18 04:24:54,-17.7333,-149.15,80.46,75,30,9.17
208,Zhengjiatun,CN,2022-04-18 04:24:55,43.5064,123.5064,59.09,17,0,8.01
209,Hambantota,LK,2022-04-18 04:24:55,6.1241,81.1185,86.34,84,20,9.22
210,Silver City,US,2022-04-18 04:24:56,32.7701,-108.2803,63.3,9,0,11.5
211,Mahebourg,MU,2022-04-18 04:24:56,-20.4081,57.7,79.25,100,40,5.75
212,Cherskiy,RU,2022-04-18 04:24:57,68.75,161.3,17.11,87,100,4.76
213,Ahipara,NZ,2022-04-18 04:24:58,-35.1667,173.1667,71.04,85,100,10.29
214,Puerto Ayacucho,VE,2022-04-18 04:24:58,5.6639,-67.6236,75.52,92,93,4.16
215,Kaitangata,NZ,2022-04-18 04:24:59,-46.2817,169.8464,58.05,62,16,3.89
216,Gunnedah,AU,2022-04-18 04:24:59,-30.9833,150.25,76.08,39,99,4.25
217,Lagunillas,VE,2022-04-18 04:25:00,10.1301,-71.2595,78.15,82,85,2.77
218,Harper,LR,2022-04-18 04:25:00,4.375,-7.7169,77.11,88,81,0.27
219,Zyryanka,RU,2022-04-18 04:25:01,65.75,150.85,25.83,84,100,9.13
220,Kasongo-Lunda,CD,2022-04-18 04:25:01,-6.4667,16.8167,69.46,99,96,1.72
221,Batemans Bay,AU,2022-04-18 04:23:05,-35.7167,150.1833,73.09,50,100,4.76
222,Sterling,US,2022-04-18 04:24:46,39.0062,-77.4286,46.76,48,40,9.22
223,Samut Prakan,TH,2022-04-18 04:25:02,13.5,100.45,94.05,62,91,7.99
224,Tiznit,MA,2022-04-18 04:25:03,29.5833,-9.5,70.66,23,100,2.8
225,Kahului,US,2022-04-18 04:23:53,20.8947,-156.47,77.02,72,40,18.41
226,Bridgetown,BB,2022-04-18 04:25:04,13.1,-59.6167,79.29,78,40,17.27
227,Papetoai,PF,2022-04-18 04:25:05,-17.4961,-149.8729,81.99,73,5,10.27
228,Ploemeur,FR,2022-04-18 04:25:05,47.7333,-3.4333,50.83,88,60,3.44
229,Bonthe,SL,2022-04-18 04:25:06,7.5264,-12.505,76.69,79,99,5.64
230,Dunedin,NZ,2022-04-18 04:25:06,-45.8742,170.5036,59.81,65,13,11.01
231,Vallenar,CL,2022-04-18 04:25:07,-28.5708,-70.7581,60.62,67,0,1.63
232,Quatre Cocos,MU,2022-04-18 04:26:08,-20.2078,57.7625,79.09,84,38,12.53
233,San Andres,CO,2022-04-18 04:26:08,12.5847,-81.7006,80.62,78,20,8.05
234,Bambous Virieux,MU,2022-04-18 04:26:08,-20.3428,57.7575,79.21,100,40,5.75
235,Kendari,ID,2022-04-18 04:26:09,-3.945,122.4989,86.59,64,100,5.5
236,Jasper,US,2022-04-18 04:26:10,37.2001,-94.3502,42.87,85,100,11.5
237,Tartus,SY,2022-04-18 04:26:10,34.889,35.8866,68.59,52,98,10.18
238,Kudahuvadhoo,MV,2022-04-18 04:26:11,2.6708,72.8944,84.29,64,43,10.58
239,Suez,EG,2022-04-18 04:26:11,29.9737,32.5263,74.1,29,94,6.6
240,Piove Di Sacco,IT,2022-04-18 04:26:12,45.2977,12.0368,44.44,71,11,2.59
241,Chifeng,CN,2022-04-18 04:26:12,42.2683,118.9636,59.0,19,0,4.36
242,Sungaipenuh,ID,2022-04-18 04:26:13,-2.0833,101.3833,72.18,86,96,1.5
243,Kamyshin,RU,2022-04-18 04:26:13,50.0983,45.416,54.73,67,100,5.41
244,Lermontovka,RU,2022-04-18 04:26:14,47.1453,134.3383,50.16,28,48,11.01
245,Ribeira Grande,PT,2022-04-18 04:26:14,38.5167,-28.7,58.08,66,51,20.56
246,Tilichiki,RU,2022-04-18 04:26:15,60.4667,166.1,25.43,79,51,7.38
247,Hofn,IS,2022-04-18 04:26:15,64.2539,-15.2082,43.88,71,54,8.66
248,Acapulco,MX,2022-04-18 04:22:28,16.8634,-99.8901,78.62,78,0,4.61
249,Taltal,CL,2022-04-18 04:26:16,-25.4,-70.4833,60.12,84,11,1.21
250,Ballina,AU,2022-04-18 04:26:17,-28.8667,153.5667,77.18,57,40,10.36
251,Souillac,MU,2022-04-18 04:26:17,-20.5167,57.5167,75.58,100,40,5.75
252,Batangafo,CF,2022-04-18 04:26:18,7.3008,18.2833,72.91,84,100,5.46
253,Geraldton,AU,2022-04-18 04:26:18,-28.7667,114.6,75.61,38,0,12.66
254,Multai,IN,2022-04-18 04:26:19,21.7667,78.25,93.74,12,0,15.64
255,Zabol,AF,2022-04-18 04:26:19,32.25,67.25,63.68,44,100,9.26
256,Rawson,AR,2022-04-18 04:26:20,-43.3002,-65.1023,61.57,67,19,22.44
257,Fortuna,US,2022-04-18 04:26:20,40.5982,-124.1573,47.66,81,0,5.75
258,Vila Franca Do Campo,PT,2022-04-18 04:26:21,37.7167,-25.4333,57.61,71,78,12.95
259,Mezen,RU,2022-04-18 04:26:21,65.8522,44.24,32.4,97,99,7.23
260,Coahuayana,MX,2022-04-18 04:26:21,18.7333,-103.6833,71.33,86,90,1.7
261,Cedar City,US,2022-04-18 04:21:28,37.6775,-113.0619,55.4,21,0,6.91
262,Mecca,SA,2022-04-18 04:24:42,21.4267,39.8261,83.1,31,5,2.53
263,Victoria,HK,2022-04-18 04:26:22,22.2855,114.1577,74.32,75,95,5.01
264,Tramore,IE,2022-04-18 04:26:23,52.1624,-7.1524,42.1,75,74,1.99
265,Coquimbo,CL,2022-04-18 04:26:23,-29.9533,-71.3436,55.13,94,100,3.44
266,Jieshou,CN,2022-04-18 04:26:25,33.2634,115.3611,72.63,32,57,12.28
267,Cidreira,BR,2022-04-18 04:26:25,-30.1811,-50.2056,66.79,75,77,10.98
268,Dzhebariki-Khaya,RU,2022-04-18 04:26:26,62.2167,135.8,32.65,70,98,5.55
269,Sault Sainte Marie,CA,2022-04-18 04:26:26,46.5168,-84.3333,30.49,75,20,4.61
270,Muros,ES,2022-04-18 04:26:27,42.7762,-9.0603,55.83,83,82,12.66
